Id,date,Open,High,Low,close,Vol.,Change %
1670,11-Feb-15,219.7,223.5,217.3,218.8,71.73K,-0.38%
1671,12-Feb-15,218.8,223,217.3,221.8,50.11K,1.35%
1672,13-Feb-15,221.8,241.6,220.6,236.2,112.25K,6.48%
1673,14-Feb-15,236.2,261.3,235.4,258.6,133.80K,9.51%
1674,15-Feb-15,258.6,264.6,226.6,233.3,179.14K,-9.81%
1675,16-Feb-15,233.3,240,228,235.8,115.47K,1.10%
1676,17-Feb-15,235.8,247.2,232,243.2,116.26K,3.13%
1677,18-Feb-15,243.2,245.5,231.7,235.2,99.66K,-3.29%
1678,19-Feb-15,235.2,244.1,234.9,241.9,66.05K,2.86%
1679,20-Feb-15,241.9,247.8,238.8,244.5,83.59K,1.07%
1680,21-Feb-15,244.5,247.3,242.6,244.4,42.95K,-0.04%
1681,22-Feb-15,244.4,246.5,232.7,235.7,75.70K,-3.55%
1682,23-Feb-15,235.7,240.1,231.3,238.8,62.67K,1.31%
1683,24-Feb-15,238.8,240.3,235.5,238.9,45.03K,0.03%
1684,25-Feb-15,238.9,239.6,234.6,237.3,38.10K,-0.65%
1685,26-Feb-15,237.3,238.2,233.5,236.5,50.87K,-0.34%
1686,27-Feb-15,236.5,258.7,235.7,253.5,167.81K,7.16%
1687,28-Feb-15,253.5,255.4,248.7,254.1,39.41K,0.23%
1688,1-Mar-15,254.1,260.6,244.8,257.9,51.33K,1.53%
1689,2-Mar-15,257.9,274.8,256.1,273.8,81.09K,6.13%
1690,3-Mar-15,273.8,287.1,266.1,280.6,164.82K,2.52%
1691,4-Mar-15,280.6,284.5,265.9,271.9,139.00K,-3.11%
1692,5-Mar-15,271.9,280.8,262.8,275.2,123.64K,1.22%
1693,6-Mar-15,275.2,278,269,272.6,98.80K,-0.97%
1694,7-Mar-15,272.6,278.3,269.4,274.9,60.72K,0.86%
1695,8-Mar-15,274.9,278.8,271.3,274.5,50.40K,-0.15%
1696,9-Mar-15,274.5,293.3,273.8,290,151.77K,5.66%
1697,10-Mar-15,290,301,288.1,291.4,158.18K,0.47%
1698,11-Mar-15,291.4,297.7,288.9,295.6,79.98K,1.45%
1699,12-Mar-15,295.6,297,290.8,293.9,107.32K,-0.59%
1700,13-Mar-15,293.9,294.9,286.1,287.2,97.34K,-2.26%
1701,14-Mar-15,287.2,288.4,279.3,281.6,75.72K,-1.95%
1702,15-Mar-15,281.6,286.4,280.4,284.9,39.46K,1.16%
1703,16-Mar-15,284.9,294,284.8,290.4,66.34K,1.94%
1704,17-Mar-15,290.4,292.5,283.3,285.4,65.01K,-1.73%
1705,18-Mar-15,285.4,285.6,248.2,255.9,206.74K,-10.32%
1706,19-Mar-15,255.9,264.8,247,260.9,180.69K,1.96%
1707,20-Mar-15,260.9,264.7,257.9,261.8,52.83K,0.33%
1708,21-Mar-15,261.8,263.3,254,259.7,51.65K,-0.79%
1709,22-Mar-15,259.7,270.4,259,268.6,56.63K,3.41%
1710,23-Mar-15,268.6,271,259.4,265.5,81.45K,-1.16%
1711,24-Mar-15,265.5,267,242.7,246.7,151.09K,-7.06%
1712,25-Mar-15,246.7,249.2,234.8,246.4,131.44K,-0.14%
1713,26-Mar-15,246.4,254.7,243.5,248,89.47K,0.67%
1714,27-Mar-15,248,250.1,244.5,247.2,62.56K,-0.33%
1715,28-Mar-15,247.2,254.3,246.3,252,55.06K,1.95%
1716,29-Mar-15,252,252.8,238.9,242.1,77.54K,-3.94%
1717,30-Mar-15,242.1,248.8,236.6,246.8,85.33K,1.95%
1718,31-Mar-15,246.8,248.7,241.2,244.1,75.33K,-1.07%
1719,1-Apr-15,244.1,247.7,239.6,246.2,67.08K,0.86%
1720,2-Apr-15,246.2,254.9,244.3,252.6,81.37K,2.58%
1721,3-Apr-15,252.6,256.5,251.3,254.5,71.74K,0.74%
1722,4-Apr-15,254.5,255.2,250.3,252.9,30.72K,-0.62%
1723,5-Apr-15,252.9,260.3,250.6,259.6,43.83K,2.67%
1724,6-Apr-15,259.6,261.5,252.3,255,45.93K,-1.80%
1725,7-Apr-15,255,255.6,250.1,253,44.79K,-0.78%
1726,8-Apr-15,253,254.3,242.6,244.6,102.65K,-3.32%
1727,9-Apr-15,244.6,246.2,237.6,243.3,69.19K,-0.51%
1728,10-Apr-15,243.3,244.1,231.3,234.7,100.20K,-3.53%
1729,11-Apr-15,234.7,240,233.1,236.5,51.99K,0.75%
1730,12-Apr-15,236.5,237.5,232.3,235.9,33.03K,-0.27%
1731,13-Apr-15,235.9,236.8,220.4,223.6,105.15K,-5.20%
1732,14-Apr-15,223.6,224.7,214.3,218,115.19K,-2.50%
1733,15-Apr-15,218,223.6,217.1,223,77.23K,2.28%
1734,16-Apr-15,223,229.5,222.9,228,84.89K,2.25%
1735,17-Apr-15,228,229.3,220.6,222.6,66.92K,-2.36%
1736,18-Apr-15,222.6,224.5,220.6,223.4,36.54K,0.34%
1737,19-Apr-15,223.4,226.9,222,223,35.50K,-0.15%
1738,20-Apr-15,223,226.7,221.6,224.2,44.87K,0.55%
1739,21-Apr-15,224.2,235.3,223.3,233.7,68.35K,4.23%
1740,22-Apr-15,233.7,238.4,231.8,233.8,77.56K,0.02%
1741,23-Apr-15,233.8,236.1,232.6,235.4,42.45K,0.69%
1742,24-Apr-15,235.4,236.6,229.1,231.1,69.78K,-1.83%
1743,25-Apr-15,231.1,232.3,223.1,226.1,43.78K,-2.14%
1744,26-Apr-15,226.1,226.7,214.1,218.7,100.77K,-3.29%
1745,27-Apr-15,218.7,242.6,216.6,229,123.41K,4.69%
1746,28-Apr-15,229,229.9,222,225.8,65.97K,-1.38%
1747,29-Apr-15,225.8,227.2,222.3,225.4,60.89K,-0.17%
1748,30-Apr-15,225.4,240,224.7,235.8,112.24K,4.59%
1749,1-May-15,235.8,239.4,232.4,233.2,60.14K,-1.09%
1750,2-May-15,233.2,236.4,231.7,235.3,37.08K,0.91%
1751,3-May-15,235.3,243.6,233.8,240,55.72K,1.98%
1752,4-May-15,240,243.2,237.4,239,69.12K,-0.43%
1753,5-May-15,239,239.6,231.8,235.8,77.87K,-1.32%
1754,6-May-15,235.8,237.1,228.2,230,103.66K,-2.46%
1755,7-May-15,230,240.3,228.3,237.7,91.05K,3.35%
1756,8-May-15,237.7,247,235.8,243.7,87.50K,2.53%
1757,9-May-15,243.7,247.9,238.5,241.4,62.79K,-0.96%
1758,10-May-15,241.4,244.8,238.2,240,44.00K,-0.60%
1759,11-May-15,240,243.9,238.9,241.8,57.17K,0.77%
1760,12-May-15,241.8,243,239.2,241.6,40.08K,-0.10%
1761,13-May-15,241.6,243.9,234.1,236.4,84.43K,-2.15%
1762,14-May-15,236.4,239.2,232.4,236.9,71.02K,0.22%
1763,15-May-15,236.9,238.8,235.5,237.2,46.03K,0.13%
1764,16-May-15,237.2,237.8,234.6,236.2,27.05K,-0.41%
1765,17-May-15,236.2,237.8,235.4,236.3,28.43K,0.03%
1766,18-May-15,236.3,237.1,231.5,232.6,53.14K,-1.55%
1767,19-May-15,232.6,234.5,231.3,232,40.94K,-0.27%
1768,20-May-15,232,235.2,231.5,234,49.69K,0.84%
1769,21-May-15,234,236.6,233.6,235.4,42.94K,0.61%
1770,22-May-15,235.4,242,234.6,240.4,74.11K,2.12%
1771,23-May-15,240.4,241.7,238.1,238.9,36.03K,-0.59%
1772,24-May-15,238.9,242.4,237.5,241,30.26K,0.85%
1773,25-May-15,241,241.8,235.8,237.4,26.39K,-1.48%
1774,26-May-15,237.4,239,235.6,237.8,37.08K,0.18%
1775,27-May-15,237.8,238.9,235.9,237.3,48.03K,-0.23%
1776,28-May-15,237.3,238.4,236.2,237.3,35.75K,0.00%
1777,29-May-15,237.3,237.9,235.1,237,38.92K,-0.12%
1778,30-May-15,237,237.1,231.6,233.2,41.63K,-1.61%
1779,31-May-15,233.2,234,229.1,229.8,39.00K,-1.45%
1780,1-Jun-15,229.8,231.8,221,223.1,87.06K,-2.92%
1781,2-Jun-15,223.1,227.4,222.3,225.7,60.81K,1.17%
1782,3-Jun-15,225.7,227.9,223.7,225.6,54.35K,-0.07%
1783,4-Jun-15,225.6,226.7,223.5,224.2,44.06K,-0.61%
1784,5-Jun-15,224.2,226.4,222.1,225.3,56.46K,0.48%
1785,6-Jun-15,225.3,225.8,223.5,224.7,22.47K,-0.24%
1786,7-Jun-15,224.7,226.4,222.2,223.5,40.48K,-0.57%
1787,8-Jun-15,223.5,229.9,223,228.6,74.15K,2.28%
1788,9-Jun-15,228.6,231.4,227.5,229.6,54.84K,0.43%
1789,10-Jun-15,229.6,230.4,227.8,228.8,41.64K,-0.34%
1790,11-Jun-15,228.8,230.6,228.5,229.9,38.00K,0.48%
1791,12-Jun-15,229.9,231.6,229.3,230.5,40.75K,0.25%
1792,13-Jun-15,230.5,233.1,229,232.5,38.01K,0.88%
1793,14-Jun-15,232.5,235.5,232.1,233.8,32.90K,0.55%
1794,15-Jun-15,233.8,238.6,233.3,237,63.47K,1.39%
1795,16-Jun-15,237,254.1,235.7,249.8,122.47K,5.41%
1796,17-Jun-15,249.8,258.5,245.1,247.4,121.62K,-0.98%
1797,18-Jun-15,247.4,251.9,242.5,248.4,78.14K,0.43%
1798,19-Jun-15,248.4,250.8,243.6,244.1,84.70K,-1.73%
1799,20-Jun-15,244.1,246.6,238.7,245,51.28K,0.35%
1800,21-Jun-15,245,246,240.9,244.1,25.15K,-0.36%
1801,22-Jun-15,244.1,248.6,243.2,247.5,47.59K,1.38%
1802,23-Jun-15,247.5,247.7,242.3,243.8,38.43K,-1.50%
1803,24-Jun-15,243.8,244.5,239.1,240.6,47.11K,-1.31%
1804,25-Jun-15,240.6,243.6,239.3,242.6,40.36K,0.83%
1805,26-Jun-15,242.6,243.5,240.1,242.9,37.62K,0.16%
1806,27-Jun-15,242.9,251.6,241.8,250.7,54.70K,3.20%
1807,28-Jun-15,250.7,251.6,246.6,248.9,39.89K,-0.74%
1808,29-Jun-15,248.9,257.5,248,257,92.64K,3.25%
1809,30-Jun-15,257,268.7,255.4,264.1,116.53K,2.78%
1810,1-Jul-15,264.1,265,254.4,257.6,66.94K,-2.46%
1811,2-Jul-15,257.6,261.3,253.1,254.9,45.01K,-1.06%
1812,3-Jul-15,254.9,256.7,252.4,255.4,36.58K,0.20%
1813,4-Jul-15,255.4,261.1,253.4,260.5,32.95K,2.02%
1814,5-Jul-15,260.5,274.1,257.6,270.1,48.45K,3.68%
1815,6-Jul-15,270.1,277.5,266.5,269.1,90.58K,-0.39%
1816,7-Jul-15,269.1,271.3,263.2,266.2,41.61K,-1.07%
1817,8-Jul-15,266.2,273.6,263.2,268.6,45.29K,0.91%
1818,9-Jul-15,268.6,272.3,265.1,269.1,48.39K,0.19%
1819,10-Jul-15,269.1,297.9,266.9,283.6,117.17K,5.38%
1820,11-Jul-15,283.6,298.8,282.3,292,46.49K,2.94%
1821,12-Jul-15,292,315.9,291.3,310.4,120.70K,6.33%
